alder,tilflytningskommune,fraflytningskommune,årstal,værdi_m,værdi_k
0-4 år,København,København,2006,0,0
0-4 år,København,København,2007,0,0
0-4 år,København,København,2008,0,0
0-4 år,København,København,2009,0,0
0-4 år,København,København,2010,0,0
0-4 år,København,København,2011,0,0
0-4 år,København,København,2012,0,0
0-4 år,København,København,2013,0,0
0-4 år,København,København,2014,0,0
0-4 år,København,København,2015,0,0
0-4 år,København,København,2016,0,0
0-4 år,København,København,2017,0,0
0-4 år,København,Frederiksberg,2006,133,114
0-4 år,København,Frederiksberg,2007,134,121
0-4 år,København,Frederiksberg,2008,130,103
0-4 år,København,Frederiksberg,2009,131,148
0-4 år,København,Frederiksberg,2010,174,172
0-4 år,København,Frederiksberg,2011,161,157
0-4 år,København,Frederiksberg,2012,195,151
0-4 år,København,Frederiksberg,2013,195,166
0-4 år,København,Frederiksberg,2014,196,165
0-4 år,København,Frederiksberg,2015,177,148
0-4 år,København,Frederiksberg,2016,153,155
0-4 år,København,Frederiksberg,2017,157,163
0-4 år,København,Dragør,2006,4,2
0-4 år,København,Dragør,2007,9,5
0-4 år,København,Dragør,2008,6,3
0-4 år,København,Dragør,2009,4,4
0-4 år,København,Dragør,2010,4,5
0-4 år,København,Dragør,2011,6,8
0-4 år,København,Dragør,2012,5,8
0-4 år,København,Dragør,2013,5,3
0-4 år,København,Dragør,2014,4,7
0-4 år,København,Dragør,2015,5,5
0-4 år,København,Dragør,2016,5,6
0-4 år,København,Dragør,2017,7,13
0-4 år,København,Tårnby,2006,20,16
0-4 år,København,Tårnby,2007,20,17
0-4 år,København,Tårnby,2008,24,19
0-4 år,København,Tårnby,2009,15,21
0-4 år,København,Tårnby,2010,14,13
0-4 år,København,Tårnby,2011,17,24
0-4 år,København,Tårnby,2012,14,22
0-4 år,København,Tårnby,2013,25,19
0-4 år,København,Tårnby,2014,28,27
0-4 år,København,Tårnby,2015,30,27
0-4 år,København,Tårnby,2016,25,24
0-4 år,København,Tårnby,2017,32,24
0-4 år,København,Albertslund,2006,6,4
0-4 år,København,Albertslund,2007,1,7
0-4 år,København,Albertslund,2008,8,3
0-4 år,København,Albertslund,2009,6,10
0-4 år,København,Albertslund,2010,6,1
0-4 år,København,Albertslund,2011,11,9
0-4 år,København,Albertslund,2012,6,9
0-4 år,København,Albertslund,2013,10,11
0-4 år,København,Albertslund,2014,8,11
0-4 år,København,Albertslund,2015,7,10
0-4 år,København,Albertslund,2016,5,7
0-4 år,København,Albertslund,2017,5,11
0-4 år,København,Ballerup,2006,8,7
0-4 år,København,Ballerup,2007,6,6
0-4 år,København,Ballerup,2008,7,7
0-4 år,København,Ballerup,2009,12,9
0-4 år,København,Ballerup,2010,9,6
0-4 år,København,Ballerup,2011,10,9
0-4 år,København,Ballerup,2012,6,5
0-4 år,København,Ballerup,2013,8,5
0-4 år,København,Ballerup,2014,11,9
0-4 år,København,Ballerup,2015,11,8
0-4 år,København,Ballerup,2016,6,9
0-4 år,København,Ballerup,2017,10,13
0-4 år,København,Brøndby,2006,8,8
0-4 år,København,Brøndby,2007,2,11
0-4 år,København,Brøndby,2008,10,9
0-4 år,København,Brøndby,2009,5,3
0-4 år,København,Brøndby,2010,9,10
0-4 år,København,Brøndby,2011,10,5
0-4 år,København,Brøndby,2012,13,8
0-4 år,København,Brøndby,2013,11,7
0-4 år,København,Brøndby,2014,17,15
0-4 år,København,Brøndby,2015,9,7
0-4 år,København,Brøndby,2016,16,11
0-4 år,København,Brøndby,2017,12,9
0-4 år,København,Gentofte,2006,23,24
0-4 år,København,Gentofte,2007,29,37
0-4 år,København,Gentofte,2008,33,19
0-4 år,København,Gentofte,2009,32,30
0-4 år,København,Gentofte,2010,32,24
0-4 år,København,Gentofte,2011,27,29
0-4 år,København,Gentofte,2012,29,31
0-4 år,København,Gentofte,2013,36,32
0-4 år,København,Gentofte,2014,29,29
0-4 år,København,Gentofte,2015,31,37
0-4 år,København,Gentofte,2016,28,32
0-4 år,København,Gentofte,2017,36,33
0-4 år,København,Gladsaxe,2006,18,10
0-4 år,København,Gladsaxe,2007,16,16
0-4 år,København,Gladsaxe,2008,21,14
0-4 år,København,Gladsaxe,2009,37,22
0-4 år,København,Gladsaxe,2010,28,21
0-4 år,København,Gladsaxe,2011,22,23
0-4 år,København,Gladsaxe,2012,33,21
0-4 år,København,Gladsaxe,2013,24,29
0-4 år,København,Gladsaxe,2014,31,30
0-4 år,København,Gladsaxe,2015,15,15
0-4 år,København,Gladsaxe,2016,32,28
0-4 år,København,Gladsaxe,2017,24,24
0-4 år,København,Glostrup,2006,6,5
0-4 år,København,Glostrup,2007,9,2
0-4 år,København,Glostrup,2008,13,5
0-4 år,København,Glostrup,2009,5,4
0-4 år,København,Glostrup,2010,5,7
0-4 år,København,Glostrup,2011,9,9
0-4 år,København,Glostrup,2012,9,6
0-4 år,København,Glostrup,2013,13,5
0-4 år,København,Glostrup,2014,6,10
0-4 år,København,Glostrup,2015,10,8
0-4 år,København,Glostrup,2016,9,4
0-4 år,København,Glostrup,2017,11,12
0-4 år,København,Herlev,2006,6,7
0-4 år,København,Herlev,2007,6,3
0-4 år,København,Herlev,2008,4,7
0-4 år,København,Herlev,2009,5,4
0-4 år,København,Herlev,2010,8,6
0-4 år,København,Herlev,2011,1,9
0-4 år,København,Herlev,2012,3,4
0-4 år,København,Herlev,2013,3,2
0-4 år,København,Herlev,2014,12,7
0-4 år,København,Herlev,2015,11,9
0-4 år,København,Herlev,2016,5,5
0-4 år,København,Herlev,2017,8,4
0-4 år,København,Hvidovre,2006,14,21
0-4 år,København,Hvidovre,2007,13,15
0-4 år,København,Hvidovre,2008,13,23
0-4 år,København,Hvidovre,2009,38,24
