alder,tilflytningskommune,fraflytningskommune,årstal,værdi_m,værdi_k
0-4 år,København,København,2006,0,0
0-4 år,København,København,2007,0,0
0-4 år,København,København,2008,0,0
0-4 år,København,København,2009,0,0
0-4 år,København,København,2010,0,0
0-4 år,København,København,2011,0,0
0-4 år,København,København,2012,0,0
0-4 år,København,København,2013,0,0
0-4 år,København,København,2014,0,0
0-4 år,København,København,2015,0,0
0-4 år,København,København,2016,0,0
0-4 år,København,København,2017,0,0
0-4 år,Frederiksberg,København,2006,147,125
0-4 år,Frederiksberg,København,2007,139,135
0-4 år,Frederiksberg,København,2008,142,131
0-4 år,Frederiksberg,København,2009,158,153
0-4 år,Frederiksberg,København,2010,210,202
0-4 år,Frederiksberg,København,2011,165,169
0-4 år,Frederiksberg,København,2012,163,147
0-4 år,Frederiksberg,København,2013,177,163
0-4 år,Frederiksberg,København,2014,136,130
0-4 år,Frederiksberg,København,2015,158,151
0-4 år,Frederiksberg,København,2016,117,122
0-4 år,Frederiksberg,København,2017,141,109
0-4 år,Dragør,København,2006,23,15
0-4 år,Dragør,København,2007,19,15
0-4 år,Dragør,København,2008,22,17
0-4 år,Dragør,København,2009,19,21
0-4 år,Dragør,København,2010,27,27
0-4 år,Dragør,København,2011,28,16
0-4 år,Dragør,København,2012,31,30
0-4 år,Dragør,København,2013,29,26
0-4 år,Dragør,København,2014,35,30
0-4 år,Dragør,København,2015,36,31
0-4 år,Dragør,København,2016,27,42
0-4 år,Dragør,København,2017,29,31
0-4 år,Tårnby,København,2006,73,69
0-4 år,Tårnby,København,2007,67,74
0-4 år,Tårnby,København,2008,59,57
0-4 år,Tårnby,København,2009,69,64
0-4 år,Tårnby,København,2010,79,94
0-4 år,Tårnby,København,2011,81,89
0-4 år,Tårnby,København,2012,86,94
0-4 år,Tårnby,København,2013,91,67
0-4 år,Tårnby,København,2014,102,112
0-4 år,Tårnby,København,2015,99,94
0-4 år,Tårnby,København,2016,114,71
0-4 år,Tårnby,København,2017,94,104
0-4 år,Albertslund,København,2006,22,20
0-4 år,Albertslund,København,2007,16,19
0-4 år,Albertslund,København,2008,46,47
0-4 år,Albertslund,København,2009,20,23
0-4 år,Albertslund,København,2010,21,8
0-4 år,Albertslund,København,2011,22,27
0-4 år,Albertslund,København,2012,23,25
0-4 år,Albertslund,København,2013,24,20
0-4 år,Albertslund,København,2014,28,29
0-4 år,Albertslund,København,2015,26,21
0-4 år,Albertslund,København,2016,25,22
0-4 år,Albertslund,København,2017,23,17
0-4 år,Ballerup,København,2006,49,42
0-4 år,Ballerup,København,2007,62,44
0-4 år,Ballerup,København,2008,36,38
0-4 år,Ballerup,København,2009,38,34
0-4 år,Ballerup,København,2010,54,46
0-4 år,Ballerup,København,2011,47,44
0-4 år,Ballerup,København,2012,42,29
0-4 år,Ballerup,København,2013,47,47
0-4 år,Ballerup,København,2014,57,49
0-4 år,Ballerup,København,2015,57,45
0-4 år,Ballerup,København,2016,41,50
0-4 år,Ballerup,København,2017,49,62
0-4 år,Brøndby,København,2006,33,26
0-4 år,Brøndby,København,2007,26,26
0-4 år,Brøndby,København,2008,35,29
0-4 år,Brøndby,København,2009,31,27
0-4 år,Brøndby,København,2010,31,22
0-4 år,Brøndby,København,2011,19,16
0-4 år,Brøndby,København,2012,28,30
0-4 år,Brøndby,København,2013,26,37
0-4 år,Brøndby,København,2014,36,30
0-4 år,Brøndby,København,2015,43,43
0-4 år,Brøndby,København,2016,30,36
0-4 år,Brøndby,København,2017,43,42
0-4 år,Gentofte,København,2006,81,83
0-4 år,Gentofte,København,2007,98,66
0-4 år,Gentofte,København,2008,107,96
0-4 år,Gentofte,København,2009,140,132
0-4 år,Gentofte,København,2010,141,161
0-4 år,Gentofte,København,2011,130,106
0-4 år,Gentofte,København,2012,126,114
0-4 år,Gentofte,København,2013,156,145
0-4 år,Gentofte,København,2014,141,144
0-4 år,Gentofte,København,2015,148,143
0-4 år,Gentofte,København,2016,138,121
0-4 år,Gentofte,København,2017,134,132
0-4 år,Gladsaxe,København,2006,81,77
0-4 år,Gladsaxe,København,2007,84,77
0-4 år,Gladsaxe,København,2008,74,67
0-4 år,Gladsaxe,København,2009,110,108
0-4 år,Gladsaxe,København,2010,126,93
0-4 år,Gladsaxe,København,2011,110,83
0-4 år,Gladsaxe,København,2012,101,90
0-4 år,Gladsaxe,København,2013,110,110
0-4 år,Gladsaxe,København,2014,119,122
0-4 år,Gladsaxe,København,2015,108,108
0-4 år,Gladsaxe,København,2016,94,102
0-4 år,Gladsaxe,København,2017,135,112
0-4 år,Glostrup,København,2006,15,16
0-4 år,Glostrup,København,2007,23,26
0-4 år,Glostrup,København,2008,17,13
0-4 år,Glostrup,København,2009,20,28
0-4 år,Glostrup,København,2010,26,19
0-4 år,Glostrup,København,2011,14,18
0-4 år,Glostrup,København,2012,17,15
0-4 år,Glostrup,København,2013,28,25
0-4 år,Glostrup,København,2014,28,22
0-4 år,Glostrup,København,2015,21,28
0-4 år,Glostrup,København,2016,36,22
0-4 år,Glostrup,København,2017,25,31
0-4 år,Herlev,København,2006,14,21
0-4 år,Herlev,København,2007,22,29
0-4 år,Herlev,København,2008,40,22
0-4 år,Herlev,København,2009,30,26
0-4 år,Herlev,København,2010,29,22
0-4 år,Herlev,København,2011,21,20
0-4 år,Herlev,København,2012,48,44
0-4 år,Herlev,København,2013,50,23
0-4 år,Herlev,København,2014,39,39
0-4 år,Herlev,København,2015,55,39
0-4 år,Herlev,København,2016,32,34
0-4 år,Herlev,København,2017,43,40
0-4 år,Hvidovre,København,2006,55,53
0-4 år,Hvidovre,København,2007,71,42
0-4 år,Hvidovre,København,2008,44,51
0-4 år,Hvidovre,København,2009,57,58
